system:index,VH,VV,date,forest,.geo
0_S1A_IW_GRDH_1SDV_20191124T154805_20191124T154830_030054_036EA2_71E0,-15.99167690897199,-9.748840146332777,2019-11-24,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191206T154805_20191206T154830_030229_0374B0_06E5,-15.85873697915209,-9.580801483542222,2019-12-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191218T154804_20191218T154829_030404_037ABF_33CD,-16.407591255601464,-10.10556840232764,2019-12-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191230T154804_20191230T154829_030579_0380C3_3999,-16.165601150749705,-9.905419524570869,2019-12-30,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200111T154803_20200111T154828_030754_0386D1_0353,-16.483065310646086,-10.185976082943162,2020-01-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200123T154803_20200123T154828_030929_038CF5_1619,-16.55888537908686,-10.375216752342224,2020-01-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200204T154803_20200204T154828_031104_039319_1396,-16.152453215690095,-9.89502218292038,2020-02-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200216T154802_20200216T154827_031279_039924_AC2D,-15.040634933469024,-9.047934763009374,2020-02-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200228T154802_20200228T154827_031454_039F25_00AD,-16.00158000338779,-9.756858351450187,2020-02-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200311T154802_20200311T154827_031629_03A53B_1E4B,-16.432564912019366,-10.206195584775053,2020-03-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200323T154803_20200323T154828_031804_03AB68_5DE4,-16.753773169806642,-10.440972278968458,2020-03-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200404T154803_20200404T154828_031979_03B18F_3A07,-16.512776692677278,-10.164900590650674,2020-04-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200416T154803_20200416T154828_032154_03B7B4_F0DC,-16.14061566856251,-9.638915554113783,2020-04-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200428T154804_20200428T154829_032329_03BDDA_FE4C,-16.124596890989984,-9.907239767910252,2020-04-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200510T154804_20200510T154829_032504_03C3B3_5F4C,-16.37331361580994,-10.072261186210106,2020-05-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200522T154805_20200522T154830_032679_03C900_2ADF,-16.72842488780191,-10.41888677663504,2020-05-22,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200615T154807_20200615T154832_033029_03D371_73D1,-16.60765127517935,-10.354369010222443,2020-06-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200627T154807_20200627T154832_033204_03D8C3_B07B,-16.782346427742404,-10.661870963491658,2020-06-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200709T154808_20200709T154833_033379_03DE12_A490,-17.00433078521272,-10.796912382589817,2020-07-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200721T154809_20200721T154834_033554_03E36F_4A8F,-16.947719071213946,-10.898207623192308,2020-07-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
