system:index,B2_mean,B4_mean,B5_mean,B6_mean,B7_mean,date,image_count,interpolated_flag,month,year,.geo
113,17678.1754,19341.51498,23074.49126,20844.60532,17598.83273,6/1/2022,7,0,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,16667.62323,18420.29357,21691.78748,21189.96316,18092.03276,7/1/2022,7,0,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,12739.99624,15025.80687,18276.56631,19874.74814,16883.08317,8/1/2022,6,0,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,10609.09171,13623.94092,17057.87114,19451.67792,16719.03377,9/1/2022,8,0,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,14166.09377,16710.35082,19660.91027,20740.68509,17685.60003,10/1/2022,6,0,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,21603.0623,22471.52718,24871.53392,20938.83963,17538.34287,11/1/2022,5,0,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,13626.8146,15052.87225,21227.71838,18139.11571,15018.02223,12/1/2022,7,0,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,17083.73524,18450.57019,23054.78263,19777.24474,16538.90396,1/1/2023,6,0,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,11399.55445,14087.22177,18388.59193,18952.72394,15949.05131,2/1/2023,8,0,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,22216.0747,23230.05128,25638.5125,17614.19066,15740.23096,3/1/2023,6,0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,14417.68199,15895.98398,20963.81645,18642.04864,15455.61114,4/1/2023,8,0,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,15634.21007,16686.64574,23270.3017,19083.2396,15635.71085,5/1/2023,6,0,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,29225.58175,28962.54327,31140.56023,24982.42844,20463.88277,6/1/2023,7,0,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,21097.93324,22600.9273,25532.78411,22880.02026,19179.94032,7/1/2023,7,0,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,14788.78902,16883.91314,20216.09266,20285.28646,17108.88982,8/1/2023,6,0,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,24214.75941,24990.88752,26869.27156,23841.39735,19615.76503,9/1/2023,6,0,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,15392.63576,17505.89448,20426.68304,20077.02202,16807.78952,10/1/2023,8,0,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,16871.38042,17537.30751,22803.82236,17500.30194,13970.12879,11/1/2023,6,0,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,14772.74442,15773.84246,23346.17349,17703.01571,14435.2337,12/1/2023,8,0,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,15288.39799,16172.26854,23196.78374,17754.41594,14634.42307,1/1/2024,6,0,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,13963.44773,15406.85923,21163.10952,18177.11868,14841.25212,2/1/2024,6,0,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,13628.34998,15126.02887,20622.3452,18478.89425,15309.53398,3/1/2024,8,0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,18687.16444,19402.72536,24520.74154,18979.85409,15742.24167,4/1/2024,7,0,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,12824.17122,13723.32233,21507.57957,16634.99564,13446.02761,5/1/2024,8,0,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,18647.13097,19537.83627,24352.29463,20957.98928,17657.03667,6/1/2024,4,0,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,17864.63089,18833.51318,23129.35591,20072.82745,16725.16076,7/1/2024,6,0,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,21246.16055,22427.31755,25270.30791,23320.99396,19766.17262,8/1/2024,6,0,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,13240.93522,15305.66216,19316.00661,19790.69576,16446.654,9/1/2024,8,0,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,14084.12878,16443.49119,20205.2998,20239.52983,17185.62259,10/1/2024,7,0,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,15145.37006,16594.25677,21208.52326,18548.62367,15359.36895,11/1/2024,8,0,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,11263.06565,12643.72476,20149.41632,16941.04477,13873.27487,12/1/2024,6,0,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,10419.15298,12243.27578,18463.17012,17075.22211,14062.81978,1/1/2025,6,0,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,12827.84395,14576.37538,19476.3318,18519.05831,15564.3193,2/1/2025,8,0,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,12385.11518,14147.29963,18917.24911,18163.46756,15147.20309,3/1/2025,8,0,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,14581.7433,15668.82159,22988.99901,17893.29762,14474.32806,4/1/2025,3,0,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,12378.7628,13800.42715,21244.44077,17368.86151,14459.36916,5/1/2025,8,0,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,19276.78741,20225.42364,24399.24081,20561.11517,16568.46169,6/1/2025,8,0,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,17699.35202,19369.88692,22810.43748,21405.6065,18078.01133,7/1/2025,8,0,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,18333.48149,20108.7535,22919.34913,22085.41352,18613.04928,8/1/2025,6,0,8,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,11060.9256,13584.9494,17310.58331,19273.06351,16209.22836,9/1/2025,8,0,9,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,11060.9256,13584.9494,17310.58331,19273.06351,16209.22836,10/1/2025,0,1,10,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
