system:index,VH,VV,date,forest,.geo
0_S1A_IW_GRDH_1SDV_20200416T154803_20200416T154828_032154_03B7B4_F0DC,-16.14061566856251,-9.638915554113783,2020-04-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200428T154804_20200428T154829_032329_03BDDA_FE4C,-16.124596890989984,-9.907239767910252,2020-04-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200510T154804_20200510T154829_032504_03C3B3_5F4C,-16.37331361580994,-10.072261186210106,2020-05-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200522T154805_20200522T154830_032679_03C900_2ADF,-16.72842488780191,-10.418886776635041,2020-05-22,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200615T154807_20200615T154832_033029_03D371_73D1,-16.60765127517935,-10.354369010222443,2020-06-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200627T154807_20200627T154832_033204_03D8C3_B07B,-16.782346427742404,-10.661870963491658,2020-06-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200709T154808_20200709T154833_033379_03DE12_A490,-17.00433078521272,-10.796912382589815,2020-07-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200721T154809_20200721T154834_033554_03E36F_4A8F,-16.947719071213946,-10.898207623192308,2020-07-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200802T154809_20200802T154834_033729_03E8CE_6C1A,-17.378067971056094,-11.234858241469636,2020-08-02,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200814T154810_20200814T154835_033904_03EEBD_12C9,-17.251876487404516,-11.183844747317893,2020-08-14,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200826T154811_20200826T154836_034079_03F4EE_FA7B,-17.381817427767285,-11.274747467117129,2020-08-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200907T154811_20200907T154836_034254_03FB16_6688,-17.367402971906156,-11.111729584823129,2020-09-07,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200919T154812_20200919T154837_034429_04014B_D7AB,-17.88560134550053,-11.512902361291147,2020-09-19,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201001T154812_20201001T154837_034604_04076C_38A4,-18.02454310648302,-11.630667366219328,2020-10-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201013T154812_20201013T154837_034779_040D8A_4528,-18.063864237712988,-11.61643980417745,2020-10-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201025T154812_20201025T154837_034954_04139C_E192,-18.120701990533217,-11.495290590616607,2020-10-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201106T154812_20201106T154837_035129_04199C_26A3,-16.80122438359147,-9.961010423503787,2020-11-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201118T154812_20201118T154837_035304_041FBE_0C54,-17.30470178720061,-10.540583675201503,2020-11-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201130T154811_20201130T154836_035479_0425C6_E8D0,-16.582831006294683,-9.838855414383124,2020-11-30,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201212T154811_20201212T154836_035654_042BC8_4486,-16.93156541037828,-10.312266776456635,2020-12-12,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20201224T154810_20201224T154835_035829_0431CC_AA50,-17.06292197162536,-10.59690550798837,2020-12-24,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20210105T154810_20210105T154835_036004_0437E1_1C0C,-16.95099194036983,-10.605777925894785,2021-01-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20210117T154809_20210117T154834_036179_043E02_58A9,-16.756547180222153,-10.469874679695351,2021-01-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20210129T154809_20210129T154834_036354_04441D_BEE0,-17.055945983232657,-10.749220169486929,2021-01-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
